"('Noise',)","(('nan',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Nonmajor Lower than IQR')","(('VC Lower than IQR',), 0.7903110262073906)"
"('MANHATTAN', 'Misd Within Lower IQR')","(('VC Lower than IQR',), 0.7548085106382979)"
"('Noise - Residential', 'QUEENS')","(('Residential Building/House',), 1.0)"
"('BROOKLYN', 'Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('BRONX', 'Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Higher than IQR')","(('Residential Building/House',), 1.0)"
"('MANHATTAN', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Population Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Population Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Population Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential',)","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Lower than IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Misd Lower than IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Misd Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 1.0)"
"('BRONX', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('BROOKLYN', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Misd Within Higher IQR', 'Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'VC Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Higher than IQR', 'VC Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Misd Higher than IQR', 'Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Major Within Lower IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 1.0)"
"('Misd Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Banging/Pounding', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'VC Lower than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Noise Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Noise Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Major Lower than IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Lower than IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('Misd Within Lower IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Misd Higher than IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Major Higher than IQR', 'Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'VC Within Higher IQR')","(('Residential Building/House',), 0.8110461338531514)"
"('Loud Music/Party', 'Population Higher than IQR')","(('Residential Building/House',), 0.7790961437794451)"
"('Loud Music/Party', 'Major Within Higher IQR')","(('Residential Building/House',), 0.7726583337691544)"
"('Loud Music/Party', 'Noise Within Higher IQR')","(('Residential Building/House',), 0.7665948496973428)"
"('Misd Higher than IQR', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 0.7658786910069825)"
"('Loud Music/Party', 'Population Within Higher IQR')","(('Residential Building/House',), 0.7641448282248356)"
"('BROOKLYN', 'Loud Music/Party')","(('Residential Building/House',), 0.7278279467680608)"
"('Loud Music/Party', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.7253867072136612)"
"('Major Lower than IQR', 'Misd Lower than IQR')","(('Nonmajor Lower than IQR',), 0.8709283281773988)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'VC Lower than IQR')","(('Nonmajor Lower than IQR',), 0.8671885235163107)"
"('Major Higher than IQR', 'Noise - Residential')","(('Nonmajor Higher than IQR', 'Residential Building/House'), 0.7231740064446831)"
"('BRONX', 'Misd Higher than IQR')","(('Nonmajor Higher than IQR',), 0.8018006512994061)"
"('Misd Higher than IQR', 'Noise - Residential', 'Residential Building/House')","(('Nonmajor Higher than IQR',), 0.775490502285698)"
"('Noise - Residential', 'VC Higher than IQR')","(('Nonmajor Higher than IQR',), 0.7286935012367889)"
"('Noise - Residential', 'Residential Building/House', 'VC Higher than IQR')","(('Nonmajor Higher than IQR',), 0.7286935012367889)"
"('Major Higher than IQR', 'Noise - Residential', 'Residential Building/House')","(('Nonmajor Higher than IQR',), 0.7231740064446831)"
"('BRONX', 'Noise - Residential', 'Residential Building/House')","(('Nonmajor Higher than IQR',), 0.7017029251201825)"
"('Banging/Pounding',)","(('Noise - Residential', 'Residential Building/House'), 0.9531169233950171)"
"('Major Higher than IQR', 'Nonmajor Higher than IQR')","(('Noise - Residential', 'Residential Building/House'), 0.7663915765509391)"
"('Loud Music/Party', 'Misd Within Higher IQR')","(('Noise - Residential', 'Residential Building/House'), 0.7515881345633321)"
"('Loud Music/Party', 'Nonmajor Within Higher IQR')","(('Noise - Residential', 'Residential Building/House'), 0.7118730374268013)"
"('Residential Building/House', 'VC Higher than IQR')","(('Noise - Residential', 'Nonmajor Higher than IQR'), 0.7286935012367889)"
"('Major Higher than IQR', 'Residential Building/House')","(('Noise - Residential', 'Nonmajor Higher than IQR'), 0.7231740064446831)"
"('Loud Music/Party', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
