"('Noise',)","(('nan',), 0.9996121475390761)"
"('Noise - Residential', 'QUEENS')","(('Residential Building/House',), 1.0)"
"('BROOKLYN', 'Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Banging/Pounding', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Misd Lower than IQR', 'Noise - Residential', 'Nonmajor Lower than IQR')","(('Residential Building/House',), 1.0)"
"('BRONX', 'Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Higher than IQR')","(('Residential Building/House',), 1.0)"
"('MANHATTAN', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'VC Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Within Higher IQR', 'Poverty Level Higher than Median')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 1.0)"
"('Noise - Residential',)","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Lower than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('Misd Lower than IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('BRONX', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Noise Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('BROOKLYN', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'VC Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Population Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Higher than IQR', 'Poverty Level Higher than Median')","(('Residential Building/House',), 1.0)"
"('Major Within Lower IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Major Lower than IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Misd Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'VC Lower than IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Population Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Noise Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Noise Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Major Higher than IQR', 'Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Misd Higher than IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Lower than IQR')","(('Residential Building/House',), 1.0)"
"('BRONX', 'Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('Misd Within Lower IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 1.0)"
"('Banging/Pounding',)","(('Residential Building/House',), 0.9719167443305374)"
"('Loud Music/Party', 'VC Within Higher IQR')","(('Residential Building/House',), 0.8031381610823302)"
"('BRONX', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 0.7916371103229419)"
"('Loud Music/Party', 'Noise Within Higher IQR')","(('Residential Building/House',), 0.7893340779003211)"
"('Loud Music/Party', 'Major Within Higher IQR')","(('Residential Building/House',), 0.7523190105554963)"
"('BROOKLYN', 'Loud Music/Party')","(('Residential Building/House',), 0.7310867021968023)"
"('Loud Music/Party',)","(('Residential Building/House',), 0.7295043864420862)"
