"('Noise',)","(('nan',), 1.0)"
"('Major Within Lower IQR', 'Misd Within Lower IQR')","(('VC Within Lower IQR',), 0.8749084743150025)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Nonmajor Lower than IQR')","(('VC Lower than IQR',), 0.8511844265499179)"
"('MANHATTAN', 'Major Lower than IQR')","(('VC Lower than IQR',), 0.7238617873209329)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR')","(('VC Lower than IQR',), 0.7070088286015804)"
"('Noise - Residential', 'QUEENS')","(('Residential Building/House',), 1.0)"
"('BROOKLYN', 'Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Misd Lower than IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Higher than IQR')","(('Residential Building/House',), 1.0)"
"('MANHATTAN', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'VC Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Population Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential',)","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Lower than IQR')","(('Residential Building/House',), 1.0)"
"('Major Higher than IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Banging/Pounding', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('BRONX', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('BROOKLYN', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'VC Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Noise Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Major Within Lower IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 1.0)"
"('Major Lower than IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Misd Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'VC Lower than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Noise Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Noise Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 1.0)"
"('Misd Higher than IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Lower than IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Within Lower IQR')","(('Residential Building/House',), 1.0)"
"('Misd Within Lower IQR', 'Noise - Residential')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 1.0)"
"('Banging/Pounding',)","(('Residential Building/House',), 0.9739919483673078)"
"('Loud Music/Party', 'VC Within Higher IQR')","(('Residential Building/House',), 0.8169352339634335)"
"('Loud Music/Party', 'Noise Within Higher IQR')","(('Residential Building/House',), 0.8025978845796994)"
"('Loud Music/Party', 'Major Within Higher IQR')","(('Residential Building/House',), 0.7793416823672836)"
"('Loud Music/Party', 'Population Higher than IQR')","(('Residential Building/House',), 0.7665336484444617)"
"('BROOKLYN', 'Loud Music/Party')","(('Residential Building/House',), 0.7409449345094894)"
"('Misd Within Lower IQR', 'Nonmajor Within Lower IQR')","(('Poverty Level Lower than Median',), 0.7235214214912442)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'VC Lower than IQR')","(('Nonmajor Lower than IQR',), 0.93039651341651)"
"('Misd Lower than IQR', 'VC Lower than IQR')","(('Nonmajor Lower than IQR',), 0.8705352898298102)"
"('Major Lower than IQR', 'Misd Lower than IQR')","(('Nonmajor Lower than IQR',), 0.8232341110217216)"
"('Misd Lower than IQR', 'Poverty Level Lower than Median')","(('Nonmajor Lower than IQR',), 0.7817397229161935)"
"('Loud Music/Party', 'Poverty Level Lower than Median')","(('Noise - Residential', 'Residential Building/House'), 0.7355492839970733)"
"('Misd Higher than IQR',)","(('Noise - Residential', 'Residential Building/House'), 0.7090708334727474)"
"('Loud Music/Party', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BROOKLYN', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Higher than IQR')","(('Noise - Residential',), 1.0)"
"('Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('MANHATTAN', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('QUEENS', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Lower than IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
