"('Noise', 'Noise Lower than IQR')","(('nan',), 1.0)"
"('Major Lower than IQR', 'Noise', 'Noise Lower than IQR')","(('nan',), 1.0)"
"('Major Lower than IQR', 'Noise')","(('nan',), 1.0)"
"('Noise', 'Noise Lower than IQR', 'Population Lower than IQR')","(('nan',), 1.0)"
"('122', '2015', 'Misd Lower than IQR', 'Noise Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('10304', '122', 'Major Lower than IQR', 'Misd Lower than IQR', 'NGHBR: Stapleton and St. George', 'Population Lower than IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'NGHBR: Stapleton and St. George', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', '2014', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('10304', '122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR', 'Population Lower than IQR', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('10304', '122', 'Major Lower than IQR', 'Misd Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('10304', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('10304', '122', 'Misd Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Loud Music/Party', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('122', '2015', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', '2014', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('10304', '122', 'Major Lower than IQR', 'Misd Lower than IQR', 'NGHBR: Stapleton and St. George', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'NGHBR: Stapleton and St. George', 'Noise Lower than IQR', 'Population Lower than IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('122', '2014', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', '2015', 'Misd Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('122', '2015', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', '2014', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('Misd Lower than IQR', 'NGHBR: Stapleton and St. George', 'Noise Lower than IQR', 'Population Lower than IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', '2015', 'Major Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('122', '2014', 'Major Lower than IQR', 'Misd Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR', 'Residential Building/House')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'NGHBR: Stapleton and St. George', 'Nonmajor Within Lower IQR', 'Population Lower than IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('2014', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('122', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR')","(('VC Within Higher IQR',), 1.0)"
"('10304', 'Misd Lower than IQR', 'NGHBR: Stapleton and St. George', 'Nonmajor Within Lower IQR', 'Population Lower than IQR', 'Poverty Level Higher than Median')","(('VC Within Higher IQR',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR', 'Residential Building/House')","(('VC Within Higher IQR',), 0.7475479744136461)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Noise - Residential', 'Population Lower than IQR', 'Residential Building/House')","(('VC Within Higher IQR',), 0.7475479744136461)"
"('123', 'Misd Lower than IQR', 'NGHBR: South Shore', 'Noise Lower than IQR')","(('VC Lower than IQR',), 0.7357394366197183)"
"('123', 'Major Lower than IQR', 'Misd Lower than IQR', 'NGHBR: South Shore')","(('VC Lower than IQR',), 0.7357394366197183)"
"('123', 'Major Lower than IQR', 'NGHBR: South Shore', 'Noise Lower than IQR', 'Nonmajor Lower than IQR')","(('VC Lower than IQR',), 0.7357394366197183)"
"('123', 'Major Lower than IQR', 'Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Lower than IQR')","(('VC Lower than IQR',), 0.7357394366197183)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'NGHBR: South Shore', 'Nonmajor Lower than IQR')","(('VC Lower than IQR',), 0.7357394366197183)"
