"('Noise',)","(('nan',), 1.0)"
"('MANHATTAN', 'Nonmajor Lower than IQR')","(('VC Lower than IQR',), 0.8784552463332079)"
"('MANHATTAN', 'Poverty Level Lower than Median')","(('VC Lower than IQR',), 0.8011212243940912)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Nonmajor Lower than IQR')","(('VC Lower than IQR',), 0.7869357950890999)"
"('Nonmajor Higher than IQR', 'Poverty Level Higher than Median')","(('VC Higher than IQR',), 0.897348907090583)"
"('Major Higher than IQR', 'Poverty Level Higher than Median')","(('VC Higher than IQR',), 0.8353899841703842)"
"('Major Higher than IQR', 'Nonmajor Higher than IQR')","(('VC Higher than IQR',), 0.8241359723860707)"
"('Noise - Street/Sidewalk',)","(('Street/Sidewalk',), 0.9998378728923476)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Within Higher IQR')","(('Residential Building/House',), 1.0)"
"('Noise - Residential', 'Population Within Higher IQR')","(('Residential Building/House',), 0.9999808937885707)"
"('Major Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9999805538270068)"
"('Noise - Residential', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 0.9999804048360864)"
"('Misd Within Lower IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9999775482712169)"
"('Noise - Residential', 'QUEENS')","(('Residential Building/House',), 0.9999757640386806)"
"('BROOKLYN', 'Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 0.9999513583189436)"
"('Loud Music/Party', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9999467858663261)"
"('Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9999447177842888)"
"('Noise - Residential', 'Population Higher than IQR')","(('Residential Building/House',), 0.9999441423996425)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.9999406536995)"
"('Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 0.999940294051795)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9999399300184715)"
"('Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9999285480973379)"
"('Major Lower than IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9999281643599445)"
"('Misd Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9999260888043017)"
"('Major Higher than IQR', 'Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.9999224645921637)"
"('Noise - Residential',)","(('Residential Building/House',), 0.9999207489226807)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 0.9999201256689475)"
"('Noise - Residential', 'Poverty Level Higher than Median', 'VC Higher than IQR')","(('Residential Building/House',), 0.9999201192885291)"
"('Noise - Residential', 'VC Within Lower IQR')","(('Residential Building/House',), 0.9999199855974076)"
"('BROOKLYN', 'Noise - Residential')","(('Residential Building/House',), 0.9999195261700895)"
"('BRONX', 'Noise - Residential')","(('Residential Building/House',), 0.9999189331603907)"
"('Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.999913396585901)"
"('Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 0.9999089651154323)"
"('Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 0.9999037887971676)"
"('Noise - Residential', 'Noise Higher than IQR')","(('Residential Building/House',), 0.9999017585224482)"
"('Major Higher than IQR', 'Noise - Residential', 'VC Higher than IQR')","(('Residential Building/House',), 0.9999017029956012)"
