"('Noise',)","(('nan',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'Nonmajor Lower than IQR')","(('VC Lower than IQR',), 0.8052745888923364)"
"('MANHATTAN', 'Major Lower than IQR')","(('VC Lower than IQR',), 0.7172761941342698)"
"('Noise - Residential', 'QUEENS')","(('Residential Building/House',), 0.9811506762884972)"
"('Noise - Residential', 'Noise Within Lower IQR')","(('Residential Building/House',), 0.9789622197836652)"
"('Noise - Residential', 'Noise Lower than IQR')","(('Residential Building/House',), 0.9780195168772996)"
"('Loud Music/Party', 'Noise - Residential', 'VC Within Higher IQR')","(('Residential Building/House',), 0.9778533635676493)"
"('Major Higher than IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9775016789791806)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 0.9773880147880664)"
"('BROOKLYN', 'Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 0.9773700305810398)"
"('Noise - Residential', 'VC Higher than IQR')","(('Residential Building/House',), 0.9773361548133837)"
"('Noise - Residential', 'Population Within Lower IQR')","(('Residential Building/House',), 0.9771455860281075)"
"('Major Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9771420144521457)"
"('Loud Music/Party', 'Noise - Residential', 'Population Higher than IQR')","(('Residential Building/House',), 0.9771265806395926)"
"('Misd Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9769878277720584)"
"('Noise - Residential', 'Nonmajor Within Lower IQR')","(('Residential Building/House',), 0.9769597545930446)"
"('Misd Within Higher IQR', 'Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.9768528086636631)"
"('Noise - Residential', 'Population Lower than IQR')","(('Residential Building/House',), 0.9766992456055594)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9765309515891492)"
"('Loud Music/Party', 'Noise - Residential')","(('Residential Building/House',), 0.9763260590197951)"
"('Noise - Residential', 'Population Higher than IQR')","(('Residential Building/House',), 0.9762654668166479)"
"('Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 0.9762604567035948)"
"('BROOKLYN', 'Noise - Residential')","(('Residential Building/House',), 0.9762516706075871)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9762401870719893)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.9761241543971348)"
"('Noise - Residential', 'Poverty Level Higher than Median')","(('Residential Building/House',), 0.9758588527903)"
"('Noise - Residential',)","(('Residential Building/House',), 0.9758056765761148)"
"('Misd Lower than IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9757596711613077)"
"('Noise - Residential', 'Poverty Level Lower than Median')","(('Residential Building/House',), 0.9757491657580863)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Higher than IQR')","(('Residential Building/House',), 0.9755006298596933)"
"('Noise - Residential', 'Nonmajor Lower than IQR')","(('Residential Building/House',), 0.9754707741619553)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 0.9752334024896265)"
"('Noise - Residential', 'Nonmajor Within Higher IQR')","(('Residential Building/House',), 0.9748196098227276)"
"('Noise - Residential', 'VC Within Lower IQR')","(('Residential Building/House',), 0.9745378581845414)"
"('BRONX', 'Noise - Residential')","(('Residential Building/House',), 0.9743453699946943)"
"('Banging/Pounding', 'Noise - Residential')","(('Residential Building/House',), 0.9743298643960896)"
"('Major Lower than IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9742143432715552)"
"('Major Within Lower IQR', 'Noise - Residential')","(('Residential Building/House',), 0.9740942994139584)"
"('Noise - Residential', 'Population Within Higher IQR')","(('Residential Building/House',), 0.9733970192569303)"
"('Noise - Residential', 'VC Lower than IQR')","(('Residential Building/House',), 0.9733892459633171)"
"('Misd Higher than IQR', 'Noise - Residential')","(('Residential Building/House',), 0.973360129992303)"
"('Noise - Residential', 'Noise Higher than IQR')","(('Residential Building/House',), 0.9729425498207288)"
"('Loud Music/Party', 'Noise - Residential', 'Noise Within Higher IQR')","(('Residential Building/House',), 0.972830920999434)"
"('MANHATTAN', 'Noise - Residential')","(('Residential Building/House',), 0.9713964575016473)"
"('Loud Music/Party', 'VC Within Higher IQR')","(('Residential Building/House',), 0.8062194247966846)"
"('Loud Music/Party', 'Noise Within Higher IQR')","(('Residential Building/House',), 0.7597006914406592)"
"('Loud Music/Party', 'Population Higher than IQR')","(('Residential Building/House',), 0.7581622743863644)"
"('Loud Music/Party',)","(('Residential Building/House',), 0.7311067556591447)"
"('BROOKLYN', 'Loud Music/Party')","(('Residential Building/House',), 0.718121559375351)"
"('Misd Within Lower IQR', 'Nonmajor Within Lower IQR')","(('Poverty Level Lower than Median',), 0.7022874855759441)"
"('Misd Within Higher IQR', 'Nonmajor Within Higher IQR')","(('Poverty Level Higher than Median',), 0.7324617064604669)"
"('Misd Within Higher IQR', 'Noise - Residential', 'Residential Building/House')","(('Poverty Level Higher than Median',), 0.7324428190665097)"
"('Misd Within Lower IQR', 'Noise - Residential')","(('Nonmajor Within Lower IQR', 'Residential Building/House'), 0.8225759768451519)"
"('Major Within Higher IQR', 'Misd Within Lower IQR')","(('Nonmajor Within Lower IQR',), 0.8994746612947822)"
"('Misd Within Lower IQR', 'Poverty Level Lower than Median')","(('Nonmajor Within Lower IQR',), 0.8480601092896175)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Residential Building/House')","(('Nonmajor Within Lower IQR',), 0.8417623102554609)"
"('Loud Music/Party', 'Misd Within Lower IQR')","(('Nonmajor Within Lower IQR',), 0.839365012762684)"
"('Misd Within Lower IQR', 'VC Within Lower IQR')","(('Nonmajor Within Lower IQR',), 0.814690394043944)"
"('Major Lower than IQR', 'Misd Lower than IQR', 'VC Lower than IQR')","(('Nonmajor Lower than IQR',), 1.0)"
"('Major Lower than IQR', 'Misd Lower than IQR')","(('Nonmajor Lower than IQR',), 0.9762229289716795)"
"('Misd Lower than IQR', 'Poverty Level Higher than Median')","(('Nonmajor Lower than IQR',), 0.9462333606008775)"
"('Misd Lower than IQR', 'VC Lower than IQR')","(('Nonmajor Lower than IQR',), 0.9161232872777411)"
"('Misd Lower than IQR', 'Poverty Level Lower than Median')","(('Nonmajor Lower than IQR',), 0.8105788844341282)"
"('Banging/Pounding',)","(('Noise - Residential', 'Residential Building/House'), 0.9490109350043003)"
"('Loud Music/Party', 'Major Within Higher IQR')","(('Noise - Residential', 'Residential Building/House'), 0.7630221932114882)"
"('Loud Music/Party', 'Poverty Level Lower than Median')","(('Noise - Residential', 'Residential Building/House'), 0.7326418591388651)"
"('Misd Within Lower IQR', 'Residential Building/House')","(('Noise - Residential', 'Nonmajor Within Lower IQR'), 0.8417623102554609)"
"('Loud Music/Party', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BRONX', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Higher than IQR')","(('Noise - Residential',), 1.0)"
"('Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('MANHATTAN', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BROOKLYN', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('QUEENS', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Lower than IQR')","(('Noise - Residential',), 1.0)"
"('Banging/Pounding', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('BROOKLYN', 'Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Population Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House',)","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Within Lower IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Higher than IQR')","(('Noise - Residential',), 0.8243867502238138)"
"('Loud Music/Party', 'Population Within Higher IQR')","(('Noise - Residential',), 0.7881279526849148)"
"('Loud Music/Party', 'Nonmajor Within Higher IQR')","(('Noise - Residential',), 0.7828911748781808)"
"('Loud Music/Party', 'Poverty Level Higher than Median')","(('Noise - Residential',), 0.7474455875148716)"
"('Loud Music/Party', 'Misd Within Higher IQR')","(('Noise - Residential',), 0.7410933457175082)"
"('nan',)","(('Noise',), 0.8727529911003713)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR')","(('Misd Within Lower IQR',), 1.0)"
"('Nonmajor Within Lower IQR', 'VC Within Lower IQR')","(('Misd Within Lower IQR',), 0.9365084887280823)"
"('Nonmajor Within Lower IQR', 'Poverty Level Lower than Median')","(('Misd Within Lower IQR',), 0.8521345229924503)"
"('Loud Music/Party', 'Nonmajor Within Lower IQR')","(('Misd Within Lower IQR',), 0.7960273245788566)"
"('Noise - Residential', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Misd Within Lower IQR',), 0.7759726962457338)"
"('Nonmajor Within Higher IQR', 'Poverty Level Higher than Median')","(('Misd Within Higher IQR',), 0.754667639725111)"
"('Major Lower than IQR', 'Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Misd Lower than IQR',), 1.0)"
"('Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Misd Lower than IQR',), 1.0)"
"('Major Lower than IQR', 'Nonmajor Lower than IQR')","(('Misd Lower than IQR',), 0.9465213943790197)"
"('Nonmajor Lower than IQR', 'Poverty Level Lower than Median')","(('Misd Lower than IQR',), 0.8984174007951976)"
"('Nonmajor Lower than IQR', 'Poverty Level Higher than Median')","(('Misd Lower than IQR',), 0.8785775936475057)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR', 'VC Lower than IQR')","(('Major Lower than IQR',), 0.8137835888753018)"
"('Major Lower than IQR', 'Poverty Level Higher than Median')","(('MANHATTAN',), 0.7850383675716596)"
"('Poverty Level Higher than Median', 'VC Lower than IQR')","(('MANHATTAN',), 0.745796453401121)"
"('Major Within Higher IQR', 'Residential Building/House')","(('Loud Music/Party', 'Noise - Residential'), 0.7056746151524298)"
"('Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party',), 0.7171484797250478)"
"('Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party',), 0.7171484797250478)"
"('Noise - Residential', 'VC Within Higher IQR')","(('Loud Music/Party',), 0.7168594727858904)"
"('Noise - Residential', 'Noise Within Higher IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7105900419349123)"
"('Noise Within Higher IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7105900419349123)"
"('Noise - Residential', 'Noise Within Higher IQR')","(('Loud Music/Party',), 0.7105429474288998)"
"('Major Within Higher IQR', 'Noise - Residential', 'Residential Building/House')","(('Loud Music/Party',), 0.7056746151524298)"
